Instance,Run,Value,Time_Seconds
instance-11,10,4645.0,545.858
instance-11,11,4507.0,461.174
instance-11,12,4633.0,534.58
instance-11,13,4602.0,568.287
instance-11,14,4519.0,426.598
instance-11,15,4618.0,580.029
instance-11,16,4587.0,514.82
instance-11,17,4620.0,556.169
instance-11,18,4480.0,554.368
instance-11,19,4491.0,428.78
instance-11,1,4603.0,544.267
instance-11,20,4508.0,585.703
instance-11,21,4613.0,565.449
instance-11,22,4500.0,592.707
instance-11,23,4699.0,449.934
instance-11,24,4596.0,424.757
instance-11,25,4437.0,478.543
instance-11,26,4473.0,579.884
instance-11,27,4642.0,594.408
instance-11,28,4650.0,488.848
instance-11,29,4551.0,575.406
instance-11,2,4465.0,597.207
instance-11,30,4650.0,536.57
instance-11,31,4628.0,558.524
instance-11,32,4570.0,564.098
instance-11,33,4588.0,572.399
instance-11,34,4626.0,551.782
instance-11,35,4592.0,580.954
instance-11,36,4647.0,588.473
instance-11,37,4615.0,517.435
instance-11,38,4581.0,523.441
instance-11,39,4658.0,598.612
instance-11,3,4482.0,525.924
instance-11,40,4601.0,539.047
instance-11,41,4651.0,572.749
instance-11,42,4661.0,497.447
instance-11,43,4675.0,480.297
instance-11,44,4615.0,541.82
instance-11,45,4540.0,470.494
instance-11,46,4457.0,567.464
instance-11,47,4565.0,505.287
instance-11,48,4657.0,486.329
instance-11,49,4543.0,597.124
instance-11,4,4556.0,598.984
instance-11,50,4622.0,564.738
instance-11,5,4580.0,573.846
instance-11,6,4637.0,450.282
instance-11,7,4568.0,545.404
instance-11,8,4634.0,483.438
instance-11,9,4403.0,512.147
instance-13,10,8439.0,593.46
instance-13,11,9920.0,576.385
instance-13,12,9156.0,568.909
instance-13,13,9736.0,583.152
instance-13,14,9500.0,584.245
instance-13,15,9433.0,594.593
instance-13,16,9049.0,538.17
instance-13,17,9904.0,566.676
instance-13,18,9253.0,603.18
instance-13,19,9367.0,597.832
instance-13,1,9080.0,586.57
instance-13,20,9452.0,587.894
instance-13,21,9505.0,584.795
instance-13,22,9169.0,602.9
instance-13,23,9859.0,583.176
instance-13,24,9037.0,556.828
instance-13,25,9856.0,592.54
instance-13,26,9392.0,595.998
instance-13,27,9701.0,438.655
instance-13,28,9536.0,593.013
instance-13,29,9362.0,587.723
instance-13,2,8761.0,600.865
instance-13,30,9648.0,603.4
instance-13,31,9822.0,604.397
instance-13,32,9042.0,551.815
instance-13,33,9782.0,574.395
instance-13,34,9035.0,572.975
instance-13,35,9590.0,578.691
instance-13,36,9332.0,584.359
instance-13,37,9507.0,594.069
instance-13,38,9995.0,600.358
instance-13,39,9162.0,573.37
instance-13,3,9119.0,526.705
instance-13,40,9833.0,604.37
instance-13,41,9748.0,578.76
instance-13,42,9687.0,566.992
instance-13,43,9681.0,598.113
instance-13,44,9710.0,562.214
instance-13,45,9086.0,567.988
instance-13,46,9554.0,574.129
instance-13,47,9809.0,593.368
instance-13,48,9678.0,584.447
instance-13,49,9949.0,509.627
instance-13,4,8962.0,593.816
instance-13,50,9880.0,602.15
instance-13,5,8635.0,561.964
instance-13,6,9537.0,599.707
instance-13,7,9153.0,595.142
instance-13,8,8939.0,585.909
instance-13,9,8988.0,572.902
instance-14,10,10586.0,560.787
instance-14,11,10638.0,580.278
instance-14,12,10970.0,595.602
instance-14,13,10520.0,566.586
instance-14,14,10512.0,597.466
instance-14,15,10707.0,600.62
instance-14,16,10377.0,570.63
instance-14,17,10925.0,544.075
instance-14,18,10513.0,584.441
instance-14,19,10504.0,586.373
instance-14,1,10596.0,593.492
instance-14,20,10894.0,583.321
instance-14,21,10846.0,572.55
instance-14,22,10870.0,589.796
instance-14,23,10384.0,602.956
instance-14,24,11030.0,588.134
instance-14,25,10774.0,596.65
instance-14,26,11072.0,566.734
instance-14,27,10747.0,575.716
instance-14,28,10402.0,542.008
instance-14,29,10697.0,596.388
instance-14,2,10634.0,494.122
instance-14,30,10413.0,564.98
instance-14,31,10425.0,592.014
instance-14,32,10548.0,531.285
instance-14,33,10585.0,596.595
instance-14,34,10488.0,581.089
instance-14,35,11006.0,567.665
instance-14,36,11098.0,599.712
instance-14,37,10795.0,591.812
instance-14,38,10297.0,572.813
instance-14,39,10686.0,583.509
instance-14,3,10480.0,525.791
instance-14,40,10887.0,586.658
instance-14,41,11175.0,596.2
instance-14,42,11409.0,575.342
instance-14,43,11800.0,597.775
instance-14,44,11175.0,585.13
instance-14,45,11511.0,561.739
instance-14,46,11377.0,600.092
instance-14,47,11745.0,549.512
instance-14,48,11603.0,586.423
instance-14,49,11492.0,473.393
instance-14,4,10418.0,569.506
instance-14,50,11481.0,507.86
instance-14,5,10949.0,575.856
instance-14,6,10555.0,596.314
instance-14,7,10813.0,594.993
instance-14,8,10602.0,593.562
instance-14,9,10668.0,588.232
