(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.304) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.256) BestSol = Solution: cost=[1207.0], size=[100]
(Gen. 4 | Time: 4.134) BestSol = Solution: cost=[1472.0], size=[109]
(Gen. 6 | Time: 6.379) BestSol = Solution: cost=[1557.0], size=[106]
(Gen. 7 | Time: 7.806) BestSol = Solution: cost=[1588.0], size=[115]
(Gen. 8 | Time: 8.513) BestSol = Solution: cost=[1833.0], size=[107]
(Gen. 10 | Time: 9.739) BestSol = Solution: cost=[1908.0], size=[109]
(Gen. 11 | Time: 10.345) BestSol = Solution: cost=[2084.0], size=[117]
(Gen. 12 | Time: 11.026) BestSol = Solution: cost=[2106.0], size=[120]
(Gen. 13 | Time: 12.301) BestSol = Solution: cost=[2126.0], size=[113]
(Gen. 14 | Time: 13.908) BestSol = Solution: cost=[2144.0], size=[121]
(Gen. 15 | Time: 15.336) BestSol = Solution: cost=[2281.0], size=[109]
(Gen. 16 | Time: 16.5) BestSol = Solution: cost=[2335.0], size=[116]
(Gen. 18 | Time: 19.043) BestSol = Solution: cost=[2515.0], size=[112]
(Gen. 23 | Time: 23.897) BestSol = Solution: cost=[2659.0], size=[117]
(Gen. 24 | Time: 24.722) BestSol = Solution: cost=[2814.0], size=[133]
(Gen. 25 | Time: 25.513) BestSol = Solution: cost=[2847.0], size=[128]
(Gen. 27 | Time: 28.004) BestSol = Solution: cost=[3074.0], size=[125]
(Gen. 33 | Time: 33.348) BestSol = Solution: cost=[3158.0], size=[119]
(Gen. 35 | Time: 35.742) BestSol = Solution: cost=[3187.0], size=[124]
(Gen. 36 | Time: 36.564) BestSol = Solution: cost=[3265.0], size=[110]
(Gen. 38 | Time: 38.073) BestSol = Solution: cost=[3384.0], size=[113]
(Gen. 41 | Time: 41.246) BestSol = Solution: cost=[3407.0], size=[121]
(Gen. 44 | Time: 44.179) BestSol = Solution: cost=[3456.0], size=[113]
(Gen. 48 | Time: 47.371) BestSol = Solution: cost=[3471.0], size=[109]
(Gen. 51 | Time: 50.613) BestSol = Solution: cost=[3491.0], size=[117]
(Gen. 54 | Time: 53.6) BestSol = Solution: cost=[3555.0], size=[118]
(Gen. 58 | Time: 57.006) BestSol = Solution: cost=[3626.0], size=[120]
(Gen. 59 | Time: 57.849) BestSol = Solution: cost=[3683.0], size=[124]
(Gen. 62 | Time: 60.134) BestSol = Solution: cost=[3793.0], size=[121]
(Gen. 67 | Time: 64.168) BestSol = Solution: cost=[3803.0], size=[116]
(Gen. 68 | Time: 64.909) BestSol = Solution: cost=[3931.0], size=[114]
(Gen. 74 | Time: 70.912) BestSol = Solution: cost=[4047.0], size=[113]
(Gen. 76 | Time: 72.846) BestSol = Solution: cost=[4053.0], size=[112]
(Gen. 77 | Time: 73.757) BestSol = Solution: cost=[4056.0], size=[113]
(Gen. 86 | Time: 82.228) BestSol = Solution: cost=[4097.0], size=[114]
(Gen. 91 | Time: 86.161) BestSol = Solution: cost=[4136.0], size=[115]
(Gen. 103 | Time: 97.255) BestSol = Solution: cost=[4158.0], size=[116]
(Gen. 113 | Time: 105.592) BestSol = Solution: cost=[4192.0], size=[118]
(Gen. 119 | Time: 110.674) BestSol = Solution: cost=[4201.0], size=[118]
(Gen. 128 | Time: 118.524) BestSol = Solution: cost=[4249.0], size=[116]
(Gen. 147 | Time: 135.229) BestSol = Solution: cost=[4260.0], size=[114]
(Gen. 149 | Time: 137.115) BestSol = Solution: cost=[4273.0], size=[115]
(Gen. 154 | Time: 143.615) BestSol = Solution: cost=[4319.0], size=[115]
(Gen. 159 | Time: 149.685) BestSol = Solution: cost=[4323.0], size=[116]
(Gen. 174 | Time: 164.204) BestSol = Solution: cost=[4346.0], size=[115]
(Gen. 179 | Time: 168.455) BestSol = Solution: cost=[4365.0], size=[113]
(Gen. 195 | Time: 184.53) BestSol = Solution: cost=[4377.0], size=[117]
(Gen. 220 | Time: 208.401) BestSol = Solution: cost=[4392.0], size=[119]
(Gen. 229 | Time: 217.115) BestSol = Solution: cost=[4396.0], size=[115]
(Gen. 237 | Time: 225.109) BestSol = Solution: cost=[4417.0], size=[115]
(Gen. 243 | Time: 230.209) BestSol = Solution: cost=[4419.0], size=[116]
(Gen. 245 | Time: 232.071) BestSol = Solution: cost=[4442.0], size=[121]
(Gen. 277 | Time: 261.766) BestSol = Solution: cost=[4466.0], size=[121]
(Gen. 312 | Time: 297.904) BestSol = Solution: cost=[4502.0], size=[123]
(Gen. 344 | Time: 329.385) BestSol = Solution: cost=[4518.0], size=[123]
(Gen. 352 | Time: 336.547) BestSol = Solution: cost=[4546.0], size=[122]
(Gen. 381 | Time: 364.884) BestSol = Solution: cost=[4575.0], size=[120]
(Gen. 436 | Time: 419.473) BestSol = Solution: cost=[4590.0], size=[121]
(Gen. 438 | Time: 421.097) BestSol = Solution: cost=[4608.0], size=[122]
(Gen. 444 | Time: 426.166) BestSol = Solution: cost=[4614.0], size=[121]
(Gen. 559 | Time: 529.36) BestSol = Solution: cost=[4634.0], size=[122]
(Gen. 631 | Time: 594.408) BestSol = Solution: cost=[4642.0], size=[121]
maxVal = Solution: cost=[4642.0], size=[121]
Time = 600.506 seg
