Instance,Configuration,Value,Time_Seconds
instance-01.txt,STANDARD+ALPHA,354.00,600
instance-02.txt,STANDARD+ALPHA,200.00,600
instance-03.txt,STANDARD+ALPHA,283.00,600
instance-04.txt,STANDARD+ALPHA,604.00,600
instance-05.txt,STANDARD+ALPHA,677.00,602
instance-06.txt,STANDARD+ALPHA,514.00,600
instance-07.txt,STANDARD+ALPHA,2209.00,602
instance-08.txt,STANDARD+ALPHA,2709.00,600
instance-09.txt,STANDARD+ALPHA,2459.00,602
instance-10.txt,STANDARD+ALPHA,14899.00,600
instance-11.txt,STANDARD+ALPHA,14525.00,600
instance-12.txt,STANDARD+ALPHA,15387.00,602
instance-13.txt,STANDARD+ALPHA,97989.00,600
instance-14.txt,STANDARD+ALPHA,96544.97,602
instance-15.txt,STANDARD+ALPHA,97902.00,602
