Instance,Configuration,Value,Time_Seconds,Feasible
instance-11.txt,STANDARD+BEST,4019.00,600,Yes
instance-14.txt,STANDARD+BEST,1230.00,607,Yes
instance-13.txt,STANDARD+BEST,284.00,611,Yes
instance-11.txt,STANDARD+BEST,4334.00,602,Yes
instance-14.txt,STANDARD+BEST,1230.00,607,Yes
instance-13.txt,STANDARD+BEST,284.00,612,Yes
instance-11.txt,STANDARD+BEST,4019.00,602,Yes
instance-13.txt,STANDARD+BEST,284.00,611,Yes
instance-14.txt,STANDARD+BEST,1230.00,612,Yes
instance-11.txt,STANDARD+BEST,4050.00,604,Yes
instance-14.txt,STANDARD+BEST,1158.00,606,Yes
instance-13.txt,STANDARD+BEST,284.00,612,Yes
instance-11.txt,STANDARD+BEST,4624.00,607,Yes
instance-13.txt,STANDARD+BEST,241.00,613,Yes
instance-14.txt,STANDARD+BEST,1307.00,614,Yes
instance-11.txt,STANDARD+BEST,4050.00,606,Yes
instance-14.txt,STANDARD+BEST,1230.00,613,Yes
instance-13.txt,STANDARD+BEST,241.00,615,Yes
instance-11.txt,STANDARD+BEST,4481.00,607,Yes
instance-13.txt,STANDARD+BEST,284.00,608,Yes
instance-14.txt,STANDARD+BEST,1387.00,617,Yes
instance-11.txt,STANDARD+BEST,4358.00,601,Yes
instance-14.txt,STANDARD+BEST,1387.00,601,Yes
instance-13.txt,STANDARD+BEST,241.00,617,Yes
instance-11.txt,STANDARD+BEST,4358.00,604,Yes
instance-14.txt,STANDARD+BEST,1085.00,610,Yes
instance-13.txt,STANDARD+BEST,241.00,617,Yes
instance-14.txt,STANDARD+BEST,1018.00,602,Yes
instance-11.txt,STANDARD+BEST,4659.00,606,Yes
instance-13.txt,STANDARD+BEST,241.00,617,Yes
instance-11.txt,STANDARD+BEST,4019.00,602,Yes
instance-14.txt,STANDARD+BEST,3210.00,614,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-11.txt,STANDARD+BEST,4243.00,600,Yes
instance-14.txt,STANDARD+BEST,1230.00,612,Yes
instance-13.txt,STANDARD+BEST,241.00,617,Yes
instance-11.txt,STANDARD+BEST,4019.00,601,Yes
instance-14.txt,STANDARD+BEST,1230.00,615,Yes
instance-13.txt,STANDARD+BEST,335.00,618,Yes
instance-14.txt,STANDARD+BEST,1018.00,601,Yes
instance-11.txt,STANDARD+BEST,4334.00,606,Yes
instance-13.txt,STANDARD+BEST,380.00,618,Yes
instance-11.txt,STANDARD+BEST,4282.00,600,Yes
instance-14.txt,STANDARD+BEST,1307.00,608,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-11.txt,STANDARD+BEST,4019.00,606,Yes
instance-14.txt,STANDARD+BEST,1230.00,613,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-11.txt,STANDARD+BEST,4243.00,601,Yes
instance-14.txt,STANDARD+BEST,1230.00,610,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-11.txt,STANDARD+BEST,4334.00,605,Yes
instance-14.txt,STANDARD+BEST,1230.00,616,Yes
instance-13.txt,STANDARD+BEST,241.00,619,Yes
instance-11.txt,STANDARD+BEST,4019.00,603,Yes
instance-14.txt,STANDARD+BEST,1230.00,616,Yes
instance-13.txt,STANDARD+BEST,241.00,619,Yes
instance-11.txt,STANDARD+BEST,4358.00,606,Yes
instance-14.txt,STANDARD+BEST,1307.00,609,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-11.txt,STANDARD+BEST,4019.00,603,Yes
instance-14.txt,STANDARD+BEST,1230.00,614,Yes
instance-13.txt,STANDARD+BEST,241.00,619,Yes
instance-14.txt,STANDARD+BEST,1018.00,602,Yes
instance-11.txt,STANDARD+BEST,4358.00,606,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-11.txt,STANDARD+BEST,4358.00,603,Yes
instance-13.txt,STANDARD+BEST,284.00,611,Yes
instance-14.txt,STANDARD+BEST,1158.00,619,Yes
instance-11.txt,STANDARD+BEST,4603.00,606,Yes
instance-13.txt,STANDARD+BEST,241.00,616,Yes
instance-14.txt,STANDARD+BEST,1085.00,619,Yes
instance-11.txt,STANDARD+BEST,4019.00,604,Yes
instance-14.txt,STANDARD+BEST,1387.00,615,Yes
instance-13.txt,STANDARD+BEST,335.00,620,Yes
instance-11.txt,STANDARD+BEST,4050.00,600,Yes
instance-14.txt,STANDARD+BEST,1085.00,609,Yes
