(Iter. 0 | Time: 6.44) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 13.337) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 19.81) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 26.578) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 32.948) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 39.125) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 45.223) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 51.257) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 57.461) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 63.394) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 71.228) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 79.19) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 87.159) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 95.25) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 103.16) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 111.215) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 119.166) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 126.923) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 134.902) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 142.922) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 150.783) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 158.246) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 166.271) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 174.37) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 182.315) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 190.123) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 198.046) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 204.764) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 210.906) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 217.111) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 223.147) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 235.222) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 247.15) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 447.676) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 454.648) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 460.618) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 478.374) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 484.36) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 496.297) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 502.637) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 510.375) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 608.823 seg
