Instance,Run,Value,Time_Seconds
instance-11,10,4782.0,601.739
instance-11,11,4782.0,601.77
instance-11,12,4782.0,599.52
instance-11,13,4782.0,601.744
instance-11,14,4782.0,602.05
instance-11,15,4782.0,601.841
instance-11,16,4782.0,598.946
instance-11,17,4782.0,602.214
instance-11,18,4782.0,601.774
instance-11,19,4782.0,602.173
instance-11,1,4782.0,601.518
instance-11,20,4782.0,602.093
instance-11,21,4782.0,601.964
instance-11,22,4782.0,601.792
instance-11,23,4782.0,602.326
instance-11,24,4782.0,601.979
instance-11,25,4782.0,601.878
instance-11,26,4782.0,601.974
instance-11,27,4782.0,602.144
instance-11,28,4782.0,601.753
instance-11,29,4782.0,602.463
instance-11,2,4782.0,601.683
instance-11,30,4782.0,601.896
instance-11,31,4782.0,602.022
instance-11,32,4782.0,602.273
instance-11,33,4782.0,601.75
instance-11,34,4782.0,602.071
instance-11,35,4782.0,602.14
instance-11,36,4782.0,602.054
instance-11,37,4782.0,601.946
instance-11,38,4782.0,602.054
instance-11,39,4782.0,602.07
instance-11,3,4782.0,601.94
instance-11,40,4782.0,600.216
instance-11,41,4782.0,559.285
instance-11,42,4782.0,563.787
instance-11,43,4782.0,567.179
instance-11,44,4782.0,562.129
instance-11,45,4782.0,552.199
instance-11,46,4782.0,575.046
instance-11,47,4782.0,562.352
instance-11,48,4782.0,572.779
instance-11,49,4782.0,559.333
instance-11,4,4782.0,601.651
instance-11,50,4782.0,571.827
instance-11,5,4782.0,601.596
instance-11,6,4782.0,601.854
instance-11,7,4782.0,601.897
instance-11,8,4782.0,601.772
instance-11,9,4782.0,601.31
instance-13,10,13519.0,622.367
instance-13,11,13519.0,623.984
instance-13,12,13533.0,611.964
instance-13,13,13519.0,623.033
instance-13,14,13519.0,624.273
instance-13,15,13533.0,611.625
instance-13,16,13533.0,621.708
instance-13,17,13533.0,612.406
instance-13,18,13510.0,610.886
instance-13,19,13519.0,622.672
instance-13,1,13533.0,616.906
instance-13,20,13510.0,617.884
instance-13,21,13510.0,611.276
instance-13,22,13533.0,612.725
instance-13,23,13510.0,612.428
instance-13,24,13533.0,615.134
instance-13,25,13533.0,620.18
instance-13,26,13510.0,622.505
instance-13,27,13533.0,612.782
instance-13,28,13519.0,610.253
instance-13,29,13510.0,617.818
instance-13,2,13519.0,621.667
instance-13,30,13533.0,623.342
instance-13,31,13510.0,611.116
instance-13,32,13510.0,608.087
instance-13,33,13519.0,609.204
instance-13,34,13510.0,609.136
instance-13,35,13533.0,617.695
instance-13,36,13533.0,618.479
instance-13,37,13533.0,619.384
instance-13,38,13510.0,611.117
instance-13,39,13510.0,614.877
instance-13,3,13533.0,618.734
instance-13,40,13519.0,606.712
instance-13,41,13533.0,620.525
instance-13,42,13519.0,621.996
instance-13,43,13533.0,612.795
instance-13,44,13519.0,620.343
instance-13,45,13533.0,613.099
instance-13,46,13519.0,622.215
instance-13,47,13533.0,615.385
instance-13,48,13519.0,620.393
instance-13,49,13533.0,620.373
instance-13,4,13533.0,617.633
instance-13,50,13519.0,621.804
instance-13,5,13533.0,612.443
instance-13,6,13519.0,620.909
instance-13,7,13510.0,612.896
instance-13,8,13533.0,612.641
instance-13,9,13510.0,609.884
instance-14,10,14922.0,612.985
instance-14,11,14922.0,609.641
instance-14,12,14904.0,614.082
instance-14,13,14922.0,615.504
instance-14,14,14922.0,614.992
instance-14,15,14922.0,607.765
instance-14,16,14922.0,612.854
instance-14,17,14922.0,611.925
instance-14,18,14922.0,608.494
instance-14,19,14922.0,609.284
instance-14,1,14922.0,607.757
instance-14,20,14922.0,612.425
instance-14,21,14922.0,607.377
instance-14,22,14922.0,610.159
instance-14,23,14922.0,608.09
instance-14,24,14922.0,611.524
instance-14,25,14922.0,609.766
instance-14,26,14922.0,611.318
instance-14,27,14922.0,609.306
instance-14,28,14922.0,609.969
instance-14,29,14922.0,606.54
instance-14,2,14922.0,610.168
instance-14,30,14922.0,611.229
instance-14,31,14922.0,609.473
instance-14,32,14922.0,610.648
instance-14,33,14922.0,610.683
instance-14,34,14922.0,607.718
instance-14,35,14922.0,612.142
instance-14,36,14922.0,608.969
instance-14,37,14922.0,608.607
instance-14,38,14922.0,607.701
instance-14,39,14922.0,610.673
instance-14,3,14922.0,613.205
instance-14,40,14922.0,608.333
instance-14,41,14922.0,609.874
instance-14,42,14922.0,610.389
instance-14,43,14922.0,607.926
instance-14,44,14922.0,607.667
instance-14,45,14922.0,610.06
instance-14,46,14922.0,610.008
instance-14,47,14922.0,608.021
instance-14,48,14922.0,608.823
instance-14,49,14922.0,609.053
instance-14,4,14922.0,613.412
instance-14,50,14922.0,611.256
instance-14,5,14922.0,607.182
instance-14,6,14922.0,608.34
instance-14,7,14922.0,614.586
instance-14,8,14922.0,614.668
instance-14,9,14922.0,608.374
