(Iter. 0 | Time: 11.956) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 23.964) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 35.921) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 47.81) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 59.518) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 71.044) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 82.718) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 94.207) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 105.946) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 117.664) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 129.174) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 140.873) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 152.574) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 164.102) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 175.646) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 187.109) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 198.408) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 209.611) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 220.889) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 232.224) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 243.633) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 254.886) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 266.062) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 277.241) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 288.508) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 299.895) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 316.212) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 333.19) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 349.609) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 368.258) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 386.122) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 404.015) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 420.825) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 455.772) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 473.402) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 490.951) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 509.558) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 527.484) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 545.749) BestSol = Solution: cost=[13533.0], size=[247]
(Iter. 40 | Time: 563.361) BestSol = Solution: cost=[13557.0], size=[247]
(Iter. 41 | Time: 581.626) BestSol = Solution: cost=[13575.0], size=[247]
(Iter. 42 | Time: 602.554) BestSol = Solution: cost=[13583.0], size=[247]
(Iter. 43 | Time: 620.445) BestSol = Solution: cost=[13593.0], size=[247]
(Iter. 44 | Time: 639.656) BestSol = Solution: cost=[13597.0], size=[247]
(Iter. 45 | Time: 658.529) BestSol = Solution: cost=[13601.0], size=[248]
(Iter. 47 | Time: 697.291) BestSol = Solution: cost=[13608.0], size=[249]
(Iter. 48 | Time: 717.371) BestSol = Solution: cost=[13612.0], size=[249]
(Iter. 50 | Time: 757.068) BestSol = Solution: cost=[13624.0], size=[249]
(Iter. 52 | Time: 795.729) BestSol = Solution: cost=[13634.0], size=[248]
(Iter. 54 | Time: 835.894) BestSol = Solution: cost=[13635.0], size=[246]
(Iter. 55 | Time: 855.963) BestSol = Solution: cost=[13639.0], size=[245]
(Iter. 56 | Time: 875.849) BestSol = Solution: cost=[13643.0], size=[244]
(Iter. 57 | Time: 895.817) BestSol = Solution: cost=[13644.0], size=[243]
(Iter. 58 | Time: 915.4) BestSol = Solution: cost=[13651.0], size=[243]
(Iter. 60 | Time: 952.255) BestSol = Solution: cost=[13657.0], size=[243]
(Iter. 61 | Time: 971.066) BestSol = Solution: cost=[13663.0], size=[243]
(Iter. 62 | Time: 991.246) BestSol = Solution: cost=[13672.0], size=[244]
(Iter. 71 | Time: 1145.348) BestSol = Solution: cost=[13675.0], size=[245]
(Iter. 72 | Time: 1163.234) BestSol = Solution: cost=[13691.0], size=[245]
(Iter. 74 | Time: 1196.377) BestSol = Solution: cost=[13696.0], size=[247]
>>> Tempo limite atingido (1800s)
Best solution = Solution: cost=[13696.0], size=[247]
Time = 1815.3 seg
